Number,Player,Matchweek,Matchday,Injured,Minutes_Last_Game,Minutes_Prev_3_Games,Minutes_Last_30d,Days_Since_Last_Injury_Related,Days_Since_Last_Injury_Any,age,Pos,Days_Rest,Short_Rest_Flag_le3d,Matches_Last_10d,High_Minute_Flag_10d_3x85,Starts_Last_5,Consecutive_Starts,Rolling_Minutes_7d,Rolling_Minutes_28d,Minutes
6,João Palhinha,4,2024-09-14,0,0.0,0.0,166.0,,,30.0,MF,,,2,,,,,,0.0
7,Xavi Simons,4,2024-09-14,0,0.0,0.0,522.0,,,22.0,"FW,MF",,,3,,,,,,0.0
8,Yves Bissouma,4,2024-09-14,1,0.0,72.0,306.0,,0.0,,,,,2,,,,,,0.0
9,Richarlison,4,2024-09-14,1,0.0,24.0,25.0,,0.0,28.0,FW,,,0,,,,,,0.0
10,James Maddison,4,2024-09-14,0,0.0,78.0,237.0,,,,,,,0,,,,,,0.0
11,,4,2024-09-14,0,0.0,0.0,135.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,4,2024-09-14,0,0.0,72.0,299.0,,,22.0,DF,,,2,,,,,,0.0
14,,4,2024-09-14,0,0.0,18.0,31.0,,,,,,,0,,,,,,0.0
15,Lucas Bergvall,4,2024-09-14,0,0.0,12.0,58.0,,,19.0,MF,,,2,,,,,,0.0
17,Cristian Romero,4,2024-09-14,0,0.0,90.0,450.0,,,27.0,DF,,,2,,,,,,0.0
19,Dominic Solanke,4,2024-09-14,0,0.0,0.0,90.0,5.0,5.0,,,,,0,,,,,,0.0
20,,4,2024-09-14,0,90.0,268.0,555.0,,,,,5.0,0.0,3,0.0,4.0,4.0,90.0,465.0,90.0
21,Dejan Kulusevski,4,2024-09-14,0,0.0,66.0,348.0,,,,,,,2,,,,,,0.0
22,Brennan Johnson,4,2024-09-14,0,0.0,90.0,349.0,,,24.0,FW,,,2,,,,,,0.0
23,,4,2024-09-14,0,0.0,90.0,269.0,,,,,,,0,,,,,,0.0
24,Djed Spence,4,2024-09-14,0,0.0,18.0,19.0,,,25.0,DF,,,0,,,,,,0.0
28,Wilson Odobert,4,2024-09-14,0,0.0,66.0,139.0,,,20.0,"FW,MF",,,0,,,,,,0.0
29,Pape Matar Sarr,4,2024-09-14,0,0.0,0.0,114.0,,,23.0,MF,,,2,,,,,,0.0
30,Rodrigo Bentancur,4,2024-09-14,0,0.0,0.0,86.0,14.0,14.0,28.0,MF,,,0,,,,,,0.0
37,Micky van de Ven,4,2024-09-14,0,0.0,90.0,180.0,5.0,5.0,24.0,DF,,,0,,,,,,0.0
3,Radu Dragusin,5,2024-09-21,0,0.0,0.0,360.0,,,,,,,1,,,,,,0.0
4,Kevin Danso,5,2024-09-21,1,0.0,0.0,180.0,,0.0,27.0,DF,,,0,,,,,,0.0
6,João Palhinha,5,2024-09-21,0,0.0,0.0,173.0,,,30.0,MF,,,2,,,,,,0.0
7,Xavi Simons,5,2024-09-21,0,0.0,0.0,516.0,,,22.0,"FW,MF",,,2,,,,,,0.0
8,Yves Bissouma,5,2024-09-21,0,0.0,72.0,334.0,1.0,1.0,,,11.0,0.0,1,0.0,2.0,0.0,0.0,306.0,28.0
